UNQE_FIRE_,Calculated.Acres,size_class,latest_out,duration_hrs,Fire.Mgmt.Complexity,fire_mgmt_n,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2020-OR952S-020038,0.22,Class A,2020-05-11T17:49:00Z,267.8513888888889,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020232,0.11,Class A,2020-08-20T18:04:00Z,67.25833333333334,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020279,475.77,Class E,2020-08-30T19:00:00Z,263.75,Type 2 Incident,2,WF,0,2020,NA,NA,FALSE,TRUE
2021-OR952S-021044,3.82,Class B,2021-05-05T18:32:00Z,382.5833333333333,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2020-OR952S-020078,0.15,Class A,2020-07-11T22:15:00Z,98.48583333333332,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-ORPRD-000473,100.6279,Class D,NA,NA,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2020-OR952S-020272,14.98,Class C,2020-08-30T19:00:00Z,265.0838888888889,NA,NA,WF,0,2020,NA,NA,FALSE,TRUE
2021-OR954S-000182,0.11,Class A,2021-05-10T20:17:00Z,0.7386111111111111,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000193,1,Class B,2021-05-13T19:42:00Z,1.1158333333333332,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORMUPN-000188,15.89,Class C,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000243,3,Class B,2021-05-25T17:13:00Z,23.010277777777777,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORVAD-000056,0.1,Class A,2021-07-07T23:40:00Z,813.9666666666667,NA,NA,WF,NA,2021,NA,NA,FALSE,TRUE
2021-ORNMAN-000281,500.08,Class E,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000300,1.05,Class B,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000310,1,Class B,2021-07-04T20:21:00Z,524.8869444444445,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
