UNQE_FIRE_,Calculated.Acres,size_class,latest_out,duration_hrs,Fire.Mgmt.Complexity,fire_mgmt_n,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2015-OREUD-687524,0.7,Class B,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-OREUD-687567,0.2,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-OREUD-687543,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-OREUD-687542,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-OREUD-687529,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-OREUD-681220,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-OREUD-681651,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2016-OREUD-160177,0.1,Class A,2016-06-14T06:59:59Z,9.999722222222225,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-OREUD-160180,0.5,Class B,2016-06-20T06:59:59Z,9.999722222222225,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2015-ORMED-681467,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2016-ORMED-000198,0.1,Class A,2017-01-01T07:59:59Z,2890.4997222222223,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORMED-000597,0.1,Class A,2017-01-01T07:59:59Z,2172.3330555555553,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2017-ORMED-000119,0.1,Class A,2018-01-01T07:59:59Z,3999.9997222222223,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORMED-000136,3.2,Class B,2018-01-01T07:59:59Z,3926.5830555555553,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORMED-000308,0.5,Class B,2018-01-01T07:59:59Z,3473.9997222222223,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORMED-000393,0.1,Class A,2018-01-01T07:59:59Z,2166.4997222222223,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORMED-000699,0.1,Class A,2018-01-01T07:59:59Z,1788.4330555555557,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2018-ORMED-000001,0.1,Class A,2019-01-01T07:59:59Z,1549.1497222222222,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORMED-000123,32,Class C,2019-01-01T07:59:59Z,4067.166388888889,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORMED-000567,0.1,Class A,2019-01-01T07:59:59Z,3152.466388888889,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORMED-000633,48,Class C,2019-01-01T07:59:59Z,2938.416388888889,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORMED-000911,0.2,Class A,2019-01-01T07:59:59Z,4468.8163888888885,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2019-ORMED-000469,0.1,Class A,2019-09-26T06:59:59Z,374.9997222222222,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORMED-000566,3,Class B,2019-12-12T07:59:59Z,584.9997222222222,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2016-ORCBD-721008,0.1,Class A,2016-07-06T06:59:59Z,37.33305555555555,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORCBD-721047,0.1,Class A,2016-08-09T06:59:59Z,53.89972222222222,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORCBD-723009,1,Class B,2016-11-16T07:59:59Z,3226.2497222222223,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORCBD-723013,0.1,Class A,2016-11-16T07:59:59Z,3176.9997222222223,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORCBD-723026,0.1,Class A,2016-11-16T07:59:59Z,2767.9997222222223,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORCBD-723031,0.1,Class A,2016-11-16T07:59:59Z,2634.9997222222223,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2015-ORROD-681108,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-681122,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-681601,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-686117,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-686122,0.3,Class B,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-681600,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-683920,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-686387,0.5,Class B,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-686386,0.3,Class B,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-685486,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2015-ORROD-686139,0.1,Class A,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2016-ORROD-020167,0.1,Class A,2016-08-02T06:59:59Z,21.99972222222222,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORROD-020168,0.1,Class A,2016-08-23T06:59:59Z,249.68305555555557,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORROD-020169,0.1,Class A,2016-08-29T06:59:59Z,38.53305555555555,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORROD-201616,0.1,Class A,2016-08-19T06:59:59Z,253.49972222222223,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORROD-201617,0.1,Class A,2016-09-24T06:59:59Z,246.43305555555557,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2016-ORROD-201618,0.3,Class B,2016-09-05T06:59:59Z,11.516388888888889,NA,NA,WF,0,2016,NA,NA,FALSE,TRUE
2017-ORROD-000684,2,Class B,2017-10-20T06:59:59Z,31.99972222222222,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORROD-000685,0.8,Class B,2017-10-10T06:59:59Z,6.499722222222222,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2017-ORROD-000687,0.1,Class A,2017-09-28T06:59:59Z,251.74972222222223,NA,NA,WF,0,2017,NA,NA,FALSE,TRUE
2015-ORSAD-677217,0.3,Class B,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2018-ORPRD-000365,0.1,Class A,2018-06-16T06:59:59Z,11.833055555555555,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORPRD-000398,0.1,Class A,2018-06-25T06:59:59Z,102.03305555555556,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORPRD-000496,0.1,Class A,2018-06-29T06:59:59Z,12.81638888888889,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORPRD-000510,25,Class C,2018-07-01T06:59:59Z,7.799722222222222,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORPRD-000832,5,Class B,2018-07-30T06:59:59Z,8.483055555555556,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORPRD-000845,9,Class B,2018-08-14T06:59:59Z,312.9663888888889,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORPRD-001084,0.1,Class A,2018-08-26T06:59:59Z,8.216388888888888,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2018-ORPRD-001141,0.3,Class B,2018-09-07T06:59:59Z,10.199722222222222,NA,NA,WF,0,2018,NA,NA,FALSE,TRUE
2019-ORPRD-000270,150,Class D,2019-06-16T06:59:59Z,136.58305555555555,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORPRD-000382,0.1,Class A,2019-07-01T06:59:59Z,4.633055555555556,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORPRD-000513,781,Class E,2019-07-26T06:59:59Z,11.683055555555557,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORPRD-000519,0.1,Class A,2019-08-13T06:59:59Z,393.38305555555553,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORPRD-000533,0.1,Class A,2019-07-31T06:59:59Z,5.449722222222222,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORPRD-000610,70,Class C,2019-09-06T06:59:59Z,702.9997222222222,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORPRD-000714,0.1,Class A,2019-08-12T06:59:59Z,52.48305555555555,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2019-ORPRD-000930,0.1,Class A,2019-09-09T06:59:59Z,63.34972222222222,NA,NA,WF,0,2019,NA,NA,FALSE,TRUE
2015-ORROD-687339,1845.5,Class F,NA,NA,NA,NA,WF,0,2015,NA,NA,FALSE,TRUE
2024-ORDEF-000006,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240101,0.1,Class A,2024-02-05T19:35:00Z,116.5,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000025,0,Class A,2024-02-05T17:32:00Z,55.818888888888885,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000027,0,Class A,2024-02-05T22:15:00Z,1.3108333333333333,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORWWF-000023,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORUMA-000024,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240103,3.5,Class B,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OROCF-000057,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUMA-000029,0.4,Class B,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORCGF-000014,5,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCGF-000022,0.1,Class A,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORMHF-000037,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORMHF-000020,56,Class C,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORMHF-000051,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR974S-000035,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR974S-000033,0.25,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMHF-000085,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORMHF-000103,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORVAD-240030,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000069,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUMF-024037,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240012,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240018,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240067,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORSUF-240047,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000079,1.1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWWF-000046,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240020,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240006,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240007,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240013,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240021,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OROCF-000083,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR732S-000551,1,Class B,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000088,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000091,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR955S-000090,0.1,Class A,2024-05-02T18:20:00Z,232.53944444444448,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000093,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR954S-000143,0.5,Class B,2024-06-28T07:00:00Z,1567.7755555555557,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240022,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWWF-000055,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUMA-000048,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORWWF-000054,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWWF-000053,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWWF-000052,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240008,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000095,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000096,0.1,Class A,2024-05-07T20:20:00Z,218.62,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR982S-240028,0.1,Class A,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCGF-000161,0.1,Class A,2024-05-03T02:00:00Z,53.920833333333334,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCOC-000100,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240111,0.2,Class A,2024-05-09T18:28:00Z,189.02388888888888,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000104,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCBD-240009,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCBD-240012,10,Class C,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCBD-240014,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240015,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCBD-240023,10.99,Class C,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240024,0.1,Class A,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCBD-240028,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORROD-240035,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORCBD-240027,27.98,Class C,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR953S-024043,1,Class B,2024-05-16T19:25:00Z,309.43444444444447,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240029,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR971S-000058,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000107,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240030,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000109,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000110,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240078,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR772S-000107,0.5,Class B,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORFWF-240031,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORVAD-240043,0.1,Class A,2024-08-18T21:55:00Z,2402.35,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR972S-000062,1.34,Class B,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORRSF-000059,0.1,Class A,2024-05-14T14:25:00Z,17.406666666666666,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240115,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000121,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000120,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000122,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORROD-000553,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR953S-024054,0.1,Class A,2024-05-31T18:16:00Z,402.86555555555555,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORWIF-240077,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OROCF-000129,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWWF-000067,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWIF-240079,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWIF-240080,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240117,0.18,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000138,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240093,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR721S-020224,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000141,0.01,Class A,2024-05-21T00:26:00Z,1.7516666666666667,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMHF-000201,1,Class B,2024-05-24T17:28:00Z,73.69388888888889,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR971S-000071,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWIF-240083,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000147,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORMAF-002439,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240098,15.49,Class C,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240120,0.1,Class A,2024-05-30T18:24:00Z,114.37833333333332,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240123,0.1,Class A,2024-05-30T19:15:00Z,94.40777777777778,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000155,0.1,Class A,2024-06-04T20:10:00Z,215.87027777777777,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORUMA-000078,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORUMA-000081,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMAF-024060,0.1,Class A,2024-06-03T21:00:00Z,150.54416666666663,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000146,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR973S-000085,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR972S-000089,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR982S-240130,0.5,Class B,2024-06-05T19:14:00Z,156.91666666666666,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORDEF-000167,0.1,Class A,2024-06-02T19:32:00Z,73.86611111111111,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR954S-000225,0.01,Class A,2024-06-04T00:10:00Z,99.43,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240112,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR954S-000231,0.25,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORPRD-000175,0.1,Class A,2024-06-14T23:41:00Z,303.7325,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMAF-002446,0.1,Class A,2024-06-18T21:10:00Z,358.66777777777776,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORUMA-000098,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR732S-000556,1.5,Class B,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMED-000094,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR712S-000553,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORRSF-000095,0.1,Class A,2024-06-10T17:43:00Z,92.33111111111111,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240133,0.17,Class A,2024-06-17T22:22:00Z,254.3136111111111,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMHF-000017,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240135,2,Class B,2024-06-14T19:44:00Z,164.04777777777778,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240140,0.1,Class A,2024-06-12T17:45:00Z,87.50055555555555,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240143,0.25,Class A,2024-06-17T23:18:00Z,194.69194444444443,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR954S-000260,0.1,Class A,2024-06-20T23:11:00Z,266.55861111111113,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240144,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240124,87.12,Class C,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORWIF-240102,0.1,Class A,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORBUD-002453,0.1,Class A,2024-06-25T19:04:00Z,379.5394444444444,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORBUD-002451,0.1,Class A,2024-06-25T19:04:00Z,386.68833333333333,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORBUD-002455,0.1,Class A,2024-06-23T20:09:00Z,311.3152777777778,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORBUD-002456,0.1,Class A,2024-07-05T02:59:00Z,580.8166666666667,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMAF-024070,0.1,Class A,2024-06-28T20:59:00Z,525.3491666666666,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR952S-002457,0.1,Class A,2024-06-20T19:36:00Z,237.23333333333332,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORBUD-002460,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR711S-000365,0.21,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR712S-000566,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORROD-000561,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240151,0.5,Class B,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240152,0.1,Class A,2024-06-18T20:35:00Z,149.1811111111111,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMCFN-000276,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR712S-000578,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMED-000105,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240154,0.1,Class A,2024-06-18T19:50:00Z,124.47583333333333,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR733S-000568,0.25,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240153,0.1,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240157,0.1,Class A,2024-06-18T21:16:00Z,110.0813888888889,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240126,18.99,Class C,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-ORUPF-240132,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
2024-OR981S-240156,0.1,Class A,2024-06-19T20:21:00Z,142.79527777777778,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR711S-000370,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR712S-000573,0.25,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR712S-000586,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORMAF-002467,0.1,Class A,2024-07-04T23:31:00Z,435.7880555555555,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR954S-000302,0.1,Class A,2024-06-21T17:22:00Z,114.87305555555557,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR711S-000375,0.25,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR971S-000121,7.88,Class B,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-OR712S-000591,0.01,Class A,NA,NA,NA,NA,WF,0,2024,NA,NA,FALSE,TRUE
2024-ORPRD-000255,1,Class B,NA,NA,NA,NA,RX,0,2024,NA,NA,FALSE,TRUE
