UNQE_FIRE_,Calculated.Acres,Containment.Date.Time,Control.Date.Time,Fire.Mgmt.Complexity,FireOutDateTime,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2004-ORLAD-124951,0.1,NA,2004-08-17,NA,2004-08-20,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125050,0.3,NA,2004-09-12,NA,2004-09-18,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125005,0.1,NA,2004-06-12,NA,2004-06-19,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125028,0.2,NA,2004-07-01,NA,2004-07-13,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125038,0.1,NA,2004-07-01,NA,2004-07-09,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125041,0.1,NA,2004-07-01,NA,2004-07-09,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125044,0.1,NA,2004-07-01,NA,2004-07-13,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125084,0.1,NA,2004-06-29,NA,2004-07-14,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125585,0.1,NA,2004-10-10,NA,2004-10-15,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125528,1.1,NA,2004-10-12,NA,2004-10-19,WF,0,2004,NA,NA,FALSE,TRUE
2004-ORLAD-125532,0.1,NA,2004-10-19,NA,2004-10-21,WF,0,2004,NA,NA,FALSE,TRUE
2005-ORLAD-505215,0.1,NA,2005-08-02,NA,2005-08-06,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-505231,7.5,NA,2005-08-08,NA,2005-08-11,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-505153,0.1,NA,2005-08-01,NA,2005-08-06,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-505222,0.1,NA,2005-08-01,NA,2005-08-06,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-506478,0.1,NA,2005-08-28,NA,2005-08-29,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-506481,0.1,NA,2005-08-28,NA,2005-08-29,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-505880,0.1,NA,2005-08-10,NA,2005-08-17,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-527700,100,NA,2005-08-10,NA,2005-09-24,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-506477,0.1,NA,2005-08-26,NA,2005-08-27,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-506473,0.1,NA,2005-08-26,NA,2005-08-27,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-505155,0.1,NA,2005-08-02,NA,2005-08-03,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-509768,400,NA,2005-08-09,NA,2005-09-24,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-505233,0.1,NA,2005-08-09,NA,2005-08-14,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-505221,0.1,NA,2005-08-09,NA,2005-08-11,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-505876,0.1,NA,2005-08-09,NA,2005-08-17,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-507460,1.6,NA,2005-08-23,NA,2005-08-30,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-506360,55,NA,2005-08-26,NA,2005-08-28,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-506469,0.1,NA,2005-08-22,NA,2005-08-25,WF,0,2005,NA,NA,FALSE,TRUE
2005-ORLAD-507459,0.1,NA,2005-08-22,NA,2005-08-26,WF,0,2005,NA,NA,FALSE,TRUE
2006-ORLAD-528357,0.1,NA,2006-08-06,NA,2006-08-11,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527679,4.2,NA,2006-07-23,NA,2006-08-12,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528363,0.1,NA,2006-07-24,NA,2006-08-20,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527215,0.1,NA,2006-07-24,NA,2006-07-29,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526566,101,NA,2006-07-25,NA,2006-07-30,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526206,0.1,NA,2006-07-23,NA,2006-07-27,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528393,0.3,NA,2006-07-26,NA,2006-07-26,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-529525,46.5,NA,2006-07-30,NA,2006-08-30,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527673,0.1,NA,2006-07-24,NA,2006-08-07,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528635,10.5,NA,2006-08-08,NA,2006-08-21,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528347,0.1,NA,2006-08-07,NA,2006-08-14,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528349,0.1,NA,2006-08-07,NA,2006-08-11,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528631,2.8,NA,2006-08-07,NA,2006-08-21,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528630,31,NA,2006-08-10,NA,2006-08-20,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527783,0.1,NA,2006-08-06,NA,2006-08-11,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528401,0.1,NA,2006-07-26,NA,2006-08-06,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528355,0.1,NA,2006-08-06,NA,2006-08-10,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-530691,6,NA,2006-08-09,NA,2006-08-17,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528484,0.1,NA,2006-08-15,NA,2006-08-21,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528485,0.1,NA,2006-08-15,NA,2006-08-21,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527671,0.1,NA,2006-08-07,NA,2006-08-11,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527789,0.1,NA,2006-08-07,NA,2006-08-14,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-530708,0.1,NA,2006-08-07,NA,2006-08-20,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528404,0.3,NA,2006-08-08,NA,2006-08-12,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528405,0.1,NA,2006-08-07,NA,2006-08-07,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527791,0.1,NA,2006-08-09,NA,2006-08-14,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-530699,0.1,NA,2006-08-09,NA,2006-08-17,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528367,0.1,NA,2006-08-11,NA,2006-08-16,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527674,0.1,NA,2006-08-09,NA,2006-08-12,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-530668,234.7,NA,2006-08-18,NA,2006-08-26,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-530681,477,NA,2006-08-23,NA,2006-08-31,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-524204,0.1,NA,2006-06-29,NA,2006-07-03,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-524194,0.1,NA,2006-06-29,NA,2006-07-03,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-530707,0.1,NA,2006-08-29,NA,2006-09-11,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-536469,1,NA,2006-09-14,NA,2006-09-27,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-535314,0.1,NA,2006-10-05,NA,2006-10-10,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-536475,0.1,NA,2006-10-08,NA,2006-10-12,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526449,0.1,NA,2006-05-19,NA,2006-05-24,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-520772,0.1,NA,2006-05-18,NA,2006-05-31,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-523109,2.5,NA,2006-06-20,NA,2006-06-25,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526061,0.1,NA,2006-06-29,NA,2006-07-16,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-530701,0.1,NA,2006-06-28,NA,2006-07-15,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528403,0.1,NA,2006-06-29,NA,2006-07-02,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526030,0.1,NA,2006-06-29,NA,2006-07-02,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526036,0.1,NA,2006-06-29,NA,2006-07-16,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526057,0.1,NA,2006-06-29,NA,2006-07-15,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526044,0.1,NA,2006-06-29,NA,2006-07-15,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-524221,0.1,NA,2006-06-30,NA,2006-07-06,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-523958,0.1,NA,2006-06-30,NA,2006-07-06,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526049,0.1,NA,2006-06-29,NA,2006-07-02,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-524183,0.1,NA,2006-07-01,NA,2006-07-03,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527672,1,NA,2006-07-07,NA,2006-08-12,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-524175,0.3,NA,2006-07-05,NA,2006-07-12,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-523796,0.1,NA,2006-07-05,NA,2006-07-09,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-524181,0.3,NA,2006-07-05,NA,2006-07-10,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528359,0.1,NA,2006-07-08,NA,2006-08-20,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-524724,0.5,NA,2006-07-08,NA,2006-07-09,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526069,0.1,NA,2006-07-11,NA,2006-07-17,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528388,0.1,NA,2006-07-09,NA,2006-08-20,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-528370,0.1,NA,2006-07-09,NA,2006-08-20,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-526066,0.1,NA,2006-07-10,NA,2006-07-17,WF,0,2006,NA,NA,FALSE,TRUE
2006-ORLAD-527224,0.1,NA,2006-07-16,NA,2006-07-26,WF,0,2006,NA,NA,FALSE,TRUE
2007-ORLAD-546789,0.8,NA,2007-07-08,NA,2007-07-16,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-552580,0.1,NA,2007-07-07,NA,2007-07-13,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-541322,0.1,NA,2007-04-24,NA,2007-05-08,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-541330,0.1,NA,2007-05-10,NA,2007-06-04,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-542805,29.6,NA,2007-06-03,NA,2007-07-03,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-542809,2.8,NA,2007-05-29,NA,2007-06-05,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-546379,0.6,NA,2007-07-03,NA,2007-07-09,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-546787,0.1,NA,2007-07-07,NA,2007-07-21,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-544079,0.1,NA,2007-07-07,NA,2007-07-13,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-550214,0.1,NA,2007-07-07,NA,2007-07-29,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-545736,0.1,NA,2007-07-07,NA,2007-07-10,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-547732,90,NA,2007-07-24,NA,2007-08-13,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-546383,176,NA,2007-07-24,NA,2007-07-31,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-550221,0.2,NA,2007-08-31,NA,2007-09-13,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-548373,0.1,NA,2007-08-31,NA,2007-09-05,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-552960,37,NA,2007-09-09,NA,2007-10-13,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-548375,0.5,NA,2007-08-31,NA,2007-09-05,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-552955,0.1,NA,2007-09-09,NA,2007-10-13,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-550220,0.1,NA,2007-08-31,NA,2007-09-12,WF,0,2007,NA,NA,FALSE,TRUE
2007-ORLAD-550234,1.7,NA,2007-09-05,NA,2007-09-23,WF,0,2007,NA,NA,FALSE,TRUE
2008-ORLAD-576526,1.5,NA,2008-07-23,NA,2008-07-28,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-572983,0.1,NA,2008-06-03,NA,2008-06-07,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-575124,0.3,NA,2008-06-20,NA,2008-06-24,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-575800,0.1,NA,2008-06-30,NA,2008-07-20,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-575131,0.1,NA,2008-06-30,NA,2008-07-08,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-576712,0.1,NA,2008-07-22,NA,2008-07-29,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-576715,0.1,NA,2008-07-23,NA,2008-08-02,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-577541,0.1,NA,2008-07-23,NA,2008-07-25,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-578378,0.1,NA,2008-08-07,NA,2008-08-17,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-580267,0.4,NA,2008-08-19,NA,2008-09-19,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-580272,0.1,NA,2008-08-19,NA,2008-08-31,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-580268,0.5,NA,2008-08-18,NA,2008-08-31,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-580270,0.1,NA,2008-08-19,NA,2008-08-31,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-578684,0.1,NA,2008-08-18,NA,2008-08-25,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-581340,0.1,NA,2008-09-20,NA,2008-09-26,WF,0,2008,NA,NA,FALSE,TRUE
2008-ORLAD-582609,0.1,NA,2008-09-21,NA,2008-10-05,WF,0,2008,NA,NA,FALSE,TRUE
2009-ORLAD-597084,0.2,NA,2009-09-13,NA,2009-09-16,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-589304,0.1,NA,2009-07-01,NA,2009-07-06,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-589322,0.8,NA,2009-07-02,NA,2009-07-08,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-597078,9.1,NA,2009-07-03,NA,2009-07-15,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591798,1.7,NA,2009-07-05,NA,2009-07-11,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-590309,0.1,NA,2009-07-05,NA,2009-07-20,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-590308,0.1,NA,2009-07-05,NA,2009-07-26,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-597080,0.1,NA,2009-05-29,NA,2009-06-06,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591950,0.1,NA,2009-08-03,NA,2009-08-12,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-594266,0.1,NA,2009-09-17,NA,2009-09-17,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-592661,0.1,NA,2009-08-04,NA,2009-08-14,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-592657,0.1,NA,2009-08-06,NA,2009-08-14,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591951,0.1,NA,2009-08-04,NA,2009-08-12,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-597083,0.1,NA,2009-07-26,NA,2009-07-29,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591929,0.1,NA,2009-07-30,NA,2009-08-08,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591930,0.1,NA,2009-07-31,NA,2009-08-07,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-594270,357,NA,2009-08-07,NA,2009-09-13,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-593045,6.8,NA,2009-08-02,NA,2009-08-21,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591931,0.1,NA,2009-08-02,NA,2009-08-12,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-592662,0.1,NA,2009-08-02,NA,2009-08-14,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591933,0.1,NA,2009-08-02,NA,2009-08-07,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-595996,3,NA,2009-08-05,NA,2009-10-15,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591953,0.1,NA,2009-08-04,NA,2009-08-12,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-593048,14.5,NA,2009-08-05,NA,2009-08-25,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591955,0.1,NA,2009-08-05,NA,2009-08-12,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-595997,0.1,NA,2009-08-03,NA,2009-10-15,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-594258,0.1,NA,2009-08-06,NA,2009-09-17,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-593426,12,NA,2009-08-13,NA,2009-08-25,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-597082,0.1,NA,2009-08-02,NA,2009-08-05,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-590300,0.3,NA,2009-07-16,NA,2009-07-24,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-597079,0.1,NA,2009-07-02,NA,2009-07-06,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-591779,2,NA,2009-05-22,NA,2009-06-01,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587266,0.1,NA,2009-06-01,NA,2009-06-11,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587264,0.1,NA,2009-06-01,NA,2009-06-11,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587817,0.1,NA,2009-06-20,NA,2009-06-22,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587802,0.1,NA,2009-06-21,NA,2009-06-22,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587263,0.1,NA,2009-06-01,NA,2009-06-11,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587267,0.1,NA,2009-06-01,NA,2009-06-11,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587804,0.1,NA,2009-06-20,NA,2009-06-22,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587815,0.1,NA,2009-06-21,NA,2009-06-22,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587807,0.1,NA,2009-06-20,NA,2009-06-21,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-587806,0.1,NA,2009-06-20,NA,2009-06-21,WF,0,2009,NA,NA,FALSE,TRUE
2009-ORLAD-589525,0.1,NA,2009-07-10,NA,2009-07-11,WF,0,2009,NA,NA,FALSE,TRUE
2010-ORLAD-607645,0.1,NA,2010-07-28,NA,2010-08-01,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-607663,0.1,NA,2010-07-29,NA,2010-08-09,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-607662,0.8,NA,2010-07-29,NA,2010-08-08,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606529,0.3,NA,2010-07-31,NA,2010-08-08,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-602760,0.1,NA,2010-06-17,NA,2010-06-22,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-607087,0.1,NA,2010-06-24,NA,2010-06-28,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-603431,0.1,NA,2010-06-21,NA,2010-07-01,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-607022,0.5,NA,2010-06-23,NA,2010-06-28,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606000,0.8,NA,2010-07-27,NA,2010-08-01,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606508,3.6,NA,2010-07-29,NA,2010-08-09,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606532,0.1,NA,2010-07-28,NA,2010-08-05,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606341,0.1,NA,2010-07-28,NA,2010-08-09,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-613190,0.1,NA,2010-07-26,NA,2010-07-30,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-613186,0.3,NA,2010-07-28,NA,2010-08-02,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606371,0.5,NA,2010-07-29,NA,2010-08-08,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-612187,0.1,NA,2010-09-06,NA,2010-09-07,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-612189,0.1,NA,2010-09-06,NA,2010-09-07,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606029,0.1,NA,2010-07-26,NA,2010-07-31,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606001,0.5,NA,2010-07-27,NA,2010-08-01,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606324,0.1,NA,2010-07-27,NA,2010-08-04,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606328,0.1,NA,2010-07-27,NA,2010-08-04,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606534,0.1,NA,2010-07-27,NA,2010-08-01,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606321,0.1,NA,2010-07-27,NA,2010-08-12,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606323,0.1,NA,2010-07-27,NA,2010-08-02,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606005,0.1,NA,2010-07-27,NA,2010-08-01,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606329,0.1,NA,2010-07-27,NA,2010-08-03,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606322,0.1,NA,2010-07-26,NA,2010-08-04,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-612192,0.1,NA,2010-08-11,NA,2010-09-02,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606506,0.1,NA,2010-07-27,NA,2010-08-12,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-612193,0.1,NA,2010-08-19,NA,2010-09-07,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606512,0.1,NA,2010-07-27,NA,2010-08-12,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-612195,0.1,NA,2010-08-26,NA,2010-09-07,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-607853,0.1,NA,2010-08-13,NA,2010-08-14,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606515,0.1,NA,2010-07-30,NA,2010-08-12,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-612186,0.1,NA,2010-09-06,NA,2010-09-07,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606520,3.1,NA,2010-07-29,NA,2010-08-07,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-607851,0.1,NA,2010-08-13,NA,2010-08-14,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-606327,0.1,NA,2010-07-27,NA,2010-08-03,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-608650,29.1,NA,2010-08-01,NA,2010-08-15,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-607854,17.2,NA,2010-08-07,NA,2010-08-18,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-607537,9.1,NA,2010-08-07,NA,2010-08-17,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-614392,163,NA,2010-08-20,NA,2010-10-08,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-613191,0.1,NA,2010-08-07,NA,2010-08-12,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-613182,0.1,NA,2010-08-15,NA,2010-08-21,WF,0,2010,NA,NA,FALSE,TRUE
2010-ORLAD-614383,248,NA,2010-09-19,NA,2010-09-29,WF,0,2010,NA,NA,FALSE,TRUE
2011-ORLAD-622986,0.1,NA,2011-06-11,NA,2011-07-10,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-622980,0.1,NA,2011-06-10,NA,2011-07-10,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-628628,0.1,NA,2011-06-13,NA,2011-08-08,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-622973,0.1,NA,2011-07-10,NA,2011-07-17,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-624949,0.1,NA,2011-06-12,NA,2011-08-08,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-623112,0.1,NA,2011-07-07,NA,2011-07-15,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-624948,0.1,NA,2011-08-01,NA,2011-08-07,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-624321,0.1,NA,2011-07-30,NA,2011-08-07,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-630084,279,NA,2011-08-14,NA,2011-08-22,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-626148,0.1,NA,2011-08-01,NA,2011-08-24,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-626974,0.1,NA,2011-08-25,NA,2011-09-01,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-626969,1.5,NA,2011-08-25,NA,2011-09-04,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-628629,0.1,NA,2011-08-22,NA,2011-09-14,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-631591,1400,NA,2011-09-14,NA,2011-10-12,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-631588,6140,NA,2011-10-07,NA,2011-11-22,WF,0,2011,NA,NA,FALSE,TRUE
2011-ORLAD-631907,0.1,NA,2011-09-05,NA,2011-09-20,WF,0,2011,NA,NA,FALSE,TRUE
