geometry,index,is_indigenous,n_fires_mp,n_fires_pt,n_fires_tot,fire_lst,fire_lstmp,max_acresmp,min_mgmtmp,max_durationmp,fire_lstpt,max_acrespt,min_mgmtpt,max_durationpt,max_acres_tribal,max_acres,min_mgmt,max_duration,max_size_class,n_rx_mp,n_rx_pt,n_rx_tot,rx_lst,rx_lstmp,rx_max_acresmp,rx_min_mgmtmp,rx_max_durationmp,rx_lstpt,rx_max_acrespt,rx_min_mgmtpt,rx_max_durationpt,rx_max_acres_tribal,rx_max_acres,rx_min_mgmt,rx_max_duration,rx_max_size_class,n_quercus,n_xerophyllum,n_thuja,n_populus,n_rubus,n_pinus,n_salix,plant_sum,hist_pinus,hist_salix,hist_quercus,hist_populus,hist_thuja,sum_pinus,sum_salix,sum_quercus,sum_populus,sum_thuja,total_plant_sum
"list(c(-117.030680916482, -116.968409890863, -116.981591906173, -117.043907187505, -117.030680916482, 44.7409698916624, 44.7503586121294, 44.7940916374437, 44.7846939595959, 44.7409698916624))",5844,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-116.968409890863, -116.906121378023, -116.919259081271, -116.981591906173, -116.968409890863, 44.7503586121294, 44.7597135575387, 44.8034555117065, 44.7940916374437, 44.7503586121294))",5845,0,1,0,1,2020-IDPAF-000570,2020-IDPAF-000570,96735.7,4,1676.4333333333334,NA,0,NA,0,0,96735.7,4,1676.4333333333334,Class G,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-116.906121378023, -116.843815428897, -116.856908763871, -116.919259081271, -116.906121378023, 44.7597135575387, 44.769034711748, 44.8127855661888, 44.8034555117065, 44.7597135575387))",5846,0,1,0,1,2020-IDPAF-000570,2020-IDPAF-000570,96735.7,4,1676.4333333333334,NA,0,NA,0,0,96735.7,4,1676.4333333333334,Class G,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-124.320844973828, -124.260936233733, -124.278992074886, -124.338937637039, -124.320844973828, 43.4300197268368, 43.4433134580672, 43.4857909334539, 43.4724852310181, 43.4300197268368))",5847,0,1,2,3,"2024-ORSUF-240325, 2024-ORSUF-240329, 2022-ORSUF-220448",2024-ORSUF-240325,0,NA,127.2461111111111,"2024-ORSUF-240329, 2022-ORSUF-220448",0.1,NA,6.430555555555555,0,0.1,Inf,127.2461111111111,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-124.260936233733, -124.201005018398, -124.219023969525, -124.278992074886, -124.260936233733, 43.4433134580672, 43.4565755712913, 43.4990649962112, 43.4857909334539, 43.4433134580672))",5848,0,1,4,5,"2023-ORSUF-230153, 2023-OR721S-019723, 2024-OR721S-022224, 2024-OR721S-010825, 2020-ORSUF-200359",2023-ORSUF-230153,9.14,NA,336.8352777777778,"2023-OR721S-019723, 2024-OR721S-022224, 2024-OR721S-010825, 2020-ORSUF-200359",0.33,NA,85.51666666666667,0,9.14,Inf,336.8352777777778,Class B,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"list(c(-124.201005018398, -124.141051359516, -124.159033352708, -124.219023969525, -124.201005018398, 43.4565755712913, 43.4698060464384, 43.5123073991585, 43.4990649962112, 43.4565755712913))",5849,0,0,1,1,2023-OR721S-022023,NA,0,NA,0,2023-OR721S-022023,0.1,NA,NA,0,0.1,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,2
"list(c(-124.141051359516, -124.08107528895, -124.09902025635, -124.159033352708, -124.141051359516, 43.4698060464384, 43.4830048634596, 43.5255181221861, 43.5123073991585, 43.4698060464384))",5850,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"list(c(-124.08107528895, -124.02107683873, -124.038984712536, -124.09902025635, -124.08107528895, 43.4830048634596, 43.4961720023279, 43.5386971452062, 43.5255181221861, 43.4830048634596))",5851,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-124.02107683873, -123.961056041053, -123.97892675352, -124.038984712536, -124.02107683873, 43.4961720023279, 43.5093074430383, 43.5518444481531, 43.5386971452062, 43.4961720023279))",5852,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-123.961056041053, -123.901012928282, -123.918846411721, -123.97892675352, -123.961056041053, 43.5093074430383, 43.522411165608, 43.5649600109833, 43.5518444481531, 43.5093074430383))",5853,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
