geometry,index,is_indigenous,n_wildfires,wf_uids,max_acres,max_acres_tribal,min_mgmt,max_duration,max_size_class,n_rx_fires,rx_uids,rx_max_acres,rx_max_acres_tribal,rx_min_mgmt,rx_max_duration,rx_max_size_class,n_pinus,n_salix,n_quercus,n_populus,n_thuja,n_xerophyllum,n_rubus,plant_sum
"list(c(-123.452441002613, -123.402441002613, -123.402441002613, -123.452441002613, -123.452441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",18,0,4,"2020-CAKNF-007035, 2020-CAKNF-007035, 2020-CAKNF-007035, 2023-ORRSF-000411",157430,0,4,69.1761111111111,Class G,0,NA,0,0,NA,0,Class A,0,0,0,0,0,0,0,0
"list(c(-123.402441002613, -123.352441002613, -123.352441002613, -123.402441002613, -123.402441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",19,0,6,"2020-CAKNF-007035, 2020-CAKNF-007035, 2020-CAKNF-007035, 2022-ORRSF-000238, 2022-ORRSF-000239, 2021-ORRSF-000292",157430,0,4,88.2636111111111,Class G,0,NA,0,0,NA,0,Class A,0,0,0,0,0,0,0,0
"list(c(-123.352441002613, -123.302441002613, -123.302441002613, -123.352441002613, -123.352441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",20,0,3,"2023-ORRSF-000342, 2022-ORRSF-000224, 2021-ORRSF-000294",0.3,0,NA,75.6966666666667,Class B,0,NA,0,0,NA,0,Class A,1,0,1,0,0,1,0,3
"list(c(-123.302441002613, -123.252441002613, -123.252441002613, -123.302441002613, -123.302441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",21,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,0,0,0,0,0,0,0,0
"list(c(-123.252441002613, -123.202441002613, -123.202441002613, -123.252441002613, -123.252441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",22,0,2,"2021-ORRSF-000297, 2025-ORRSF-000263",0.1,0,NA,22.7394444444444,Class A,0,NA,0,0,NA,0,Class A,1,0,1,0,0,1,0,3
"list(c(-123.202441002613, -123.152441002613, -123.152441002613, -123.202441002613, -123.202441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",23,0,2,"2020-ORRSF-000218, 2025-ORRSF-000246",0.3,0,NA,104.3,Class B,0,NA,0,0,NA,0,Class A,1,0,1,1,0,0,1,4
"list(c(-123.152441002613, -123.102441002613, -123.102441002613, -123.152441002613, -123.152441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",24,0,1,2025-ORRSF-000087,0.5,0,NA,52.0297222222222,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,2,0,3
"list(c(-123.102441002613, -123.052441002613, -123.052441002613, -123.102441002613, -123.102441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",25,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,1,0,2
"list(c(-123.052441002613, -123.002441002613, -123.002441002613, -123.052441002613, -123.052441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",26,0,2,"2025-ORRSF-000181, 2025-ORRSF-000153",0.2,0,NA,136.259444444444,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,1,0,2
"list(c(-123.002441002613, -122.952441002613, -122.952441002613, -123.002441002613, -123.002441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",27,0,1,2023-ORRSF-000359,0.35,0,NA,140.804722222222,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.952441002613, -122.902441002613, -122.902441002613, -122.952441002613, -122.952441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",28,0,3,"2024-ORRSF-000167, 2025-ORRSF-000190, 2025-ORRSF-000357",35,0,NA,1699.5,Class C,0,NA,0,0,NA,0,Class A,1,0,0,0,0,2,0,3
"list(c(-122.902441002613, -122.852441002613, -122.852441002613, -122.902441002613, -122.902441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",29,0,3,"2025-ORRSF-000300, 2025-CAKNF-006567, 2025-ORRSF-000303",0.4,0,NA,116.123888888889,Class B,0,NA,0,0,NA,0,Class A,0,0,0,0,0,1,0,1
"list(c(-122.852441002613, -122.802441002613, -122.802441002613, -122.852441002613, -122.852441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",30,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,1,0,2
"list(c(-122.802441002613, -122.752441002613, -122.752441002613, -122.802441002613, -122.802441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",31,0,1,2023-CAKNF-007035,0.01,0,NA,97.9886111111111,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.752441002613, -122.702441002613, -122.702441002613, -122.752441002613, -122.752441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",32,0,2,"2025-CAKNF-004954, 2025-CAKNF-006784",2,0,NA,133.318611111111,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.702441002613, -122.652441002613, -122.652441002613, -122.702441002613, -122.702441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",33,0,1,2022-ORRSF-000085,0.1,0,NA,29.1686111111111,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.652441002613, -122.602441002613, -122.602441002613, -122.652441002613, -122.652441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",34,0,2,"2016-ORMED-000294, 2025-OR711S-003926",10.39,0,NA,1761.81638888889,Class C,0,NA,0,0,NA,0,Class A,1,0,2,0,0,0,0,3
